valence,arousal
5.3504395,4.695377
5.3504395,4.682112
5.3717628,4.682112
5.3504395,4.682112
5.3504395,4.682112
5.3504395,4.682112
5.3504395,4.695377
5.3504395,4.695377
5.3504395,4.682112
5.3504395,4.682112
5.3504395,4.682112
5.3504395,4.695377
5.3504395,4.682112
5.3504395,4.682112
5.3798733,4.695377
5.3798733,4.682112
5.3798733,4.695377
5.3798733,4.682112
5.3798733,4.695377
5.4011965,4.682112
5.4576764,4.6886363
5.71094,4.807838
5.7764993,4.8806252
5.9619384,5.040877
5.9619384,5.027612
5.9619384,5.040877
5.987616,5.040877
5.987616,5.027612
5.987616,5.027612
5.987616,5.027612
5.987616,5.027612
5.987616,5.040877
5.9519877,5.040877
5.9519877,5.040877
5.9519877,5.027612
5.8541226,5.0170217
5.7665486,4.9165444
5.787872,4.8384395
5.690144,4.7945733
5.5191393,4.7945733
5.44965,4.701901
5.5011015,4.7945733
5.473313,4.710238
5.473313,4.710238
5.44965,4.6886363
5.44965,4.701901
5.4110737,4.6886363
5.393716,4.701901
5.44965,4.701901
5.44965,4.7116237
5.44965,4.701901
5.393716,4.6886363
5.393716,4.701901
5.393716,4.6886363
5.345694,4.6886363
5.3670173,4.6886363
5.3783712,4.6886363
5.345694,4.6886363
5.345694,4.682112
5.345694,4.701901
5.345694,4.682112
5.345694,4.6886363
5.345694,4.6886363
5.3159127,4.701901
5.3159127,4.695377
5.3159127,4.6886363
5.3159127,4.695377
5.3159127,4.682112
5.3159127,4.695377
5.3159127,4.6886363
5.3159127,4.695377
5.3159127,4.682112
5.3159127,4.695377
5.3159127,4.682112
5.337236,4.682112
5.3159127,4.695377
5.3159127,4.682112
5.3159127,4.695377
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.695377
5.3413754,4.695377
5.3413754,4.695377
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.701901
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.695377
5.3413754,4.695377
5.3413754,4.682112
5.3626986,4.682112
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.682112
5.3626986,4.682112
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.695377
5.3413754,4.695377
5.3413754,4.682112
5.3413754,4.682112
5.3413754,4.695377
5.370809,4.695377
5.370809,4.695377
5.370809,4.682112
5.370809,4.695377
5.370809,4.682112
5.3921323,4.682112
5.4005904,4.682112
5.4005904,4.695377
5.4005904,4.695377
5.4005904,4.695377
5.4005904,4.682112
5.4005904,4.695377
5.4005904,4.682112
5.4005904,4.695377
5.3711567,4.682112
5.3711567,4.695377
5.3711567,4.6886363
5.3711567,4.682112
5.3711567,4.695377
5.3711567,4.695377
5.3711567,4.682112
5.3711567,4.701901
5.3711567,4.682112
5.39248,4.682112
5.3711567,4.682112
5.3711567,4.682112
5.3711567,4.695377
5.3711567,4.701901
5.3711567,4.695377
5.3711567,4.682112
5.3711567,4.695377
5.4005904,4.682112
5.4005904,4.695377
5.4005904,4.695377
5.4005904,4.682112
5.4005904,4.695377
5.4005904,4.682112
5.4005904,4.682112
5.4005904,4.682112
5.4005904,4.682112
5.4219136,4.682112
5.4005904,4.682112
5.4005904,4.682112
5.4245114,4.682112
5.4245114,4.695377
5.4245114,4.695377
5.4245114,4.695377
5.4245114,4.682112
5.4245114,4.6908393
5.4245114,4.6908393
5.4245114,4.6973634
5.5799184,4.831242
5.8192887,5.056689
5.9767947,5.0904846
5.8192887,5.0666294
5.8192887,5.056689
5.812679,5.056689
5.7913556,4.875248
5.7913556,4.8885126
5.725796,4.8574452
5.725796,4.87071
5.725796,4.8574452
5.725796,4.87071
5.725796,4.8574452
5.7913556,4.8885126
5.8192887,5.05474
5.7913556,4.889422
5.7913556,5.058064
5.8192887,5.028536
5.7913556,4.837155
5.8789296,5.028536
5.7913556,4.997441
5.7913556,4.837155
5.725796,4.819352
5.7913556,4.876483
5.7913556,4.819352
5.7913556,4.9413233
5.7913556,4.925083
5.8192887,5.028536
5.7913556,4.8291864
5.7913556,4.876483
5.8192887,5.018595
5.7913556,4.819352
5.7913556,4.9413233
5.7913556,4.8504195
5.7913556,4.8632183
5.8192887,5.018595
5.7913556,4.8632183
5.7913556,4.837155
5.7471194,4.819352
5.725796,4.819352
5.725796,4.8068914
5.725796,4.7899823
5.725796,4.7899823
5.725796,4.803247
5.725796,4.7899823
5.5799184,4.803247
5.5284667,4.6730127
5.5284667,4.6840453
5.5284667,4.6740084
5.5284667,4.6642857
5.472533,4.6642857
5.4245114,4.6775503
5.4571886,4.6642857
5.4245114,4.6775503
5.4458346,4.6642857
5.4458346,4.6642857
5.4245114,4.6642857
5.4245114,4.6642857
5.4245114,4.6642857
5.4245114,4.6775503
5.4245114,4.6642857
5.489891,4.6730127
5.472533,4.6862774
5.5284667,4.6862774
5.5284667,4.6840453
5.5284667,4.69731
5.5284667,4.6730127
5.4245114,4.6862774
5.4245114,4.6730127
5.4245114,4.6730127
5.4245114,4.6730127
5.4458346,4.6664886
5.4245114,4.6664886
5.4245114,4.6797533
5.4245114,4.6797533
5.4245114,4.6664886
5.4245114,4.6862774
5.4245114,4.6642857
5.4245114,4.6642857
5.5284667,4.6775503
5.5067286,4.6642857
5.472533,4.6775503
5.4571886,4.6642857
5.472533,4.6775503
5.5067286,4.6642857
5.5284667,4.687273
5.5284667,4.6642857
5.5521297,4.687273
5.5521297,4.6858873
5.520356,4.6642857
5.4430995,4.6775503
5.4430995,4.6642857
5.4430995,4.6642857
5.4430995,4.6775503
5.499033,4.6775503
5.499033,4.6642857
5.499033,4.6642857
5.499033,4.687273
5.499033,4.6642857
5.477295,4.6642857
5.4430995,4.6642857
5.499033,4.6642857
5.430676,4.6642857
5.430676,4.6775503
5.3652964,4.6642857
5.413318,4.6642857
5.430676,4.6642857
5.490575,4.6740084
5.4929147,4.6858873
5.4692516,4.687273
5.4929147,4.6858873
5.5207033,4.7235866
5.4692516,4.6775503
